,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
276,salinas,20,KZ,1570722316,66,43.36,76.86,53.6,2.24
277,salinas,40,US,1570722318,78,43.52,-114.32,17.6,5.82
278,salinas,0,PG,1570722320,71,-2.57,150.8,83.75,6.11
279,salinas,0,CN,1570722321,34,40.81,111.65,48.2,6.71
280,salinas,34,BR,1570722322,80,-9.01,-35.22,77.67,16.0
281,salinas,1,CN,1570722323,30,42.27,118.96,42.57,6.12
282,salinas,75,NG,1570722325,79,5.43,7.07,84.2,4.7
283,salinas,45,ID,1570722326,79,-2.88,108.27,80.94,11.48
284,salinas,26,AR,1570722327,28,-38.55,-58.74,79.0,15.01
285,salinas,75,MX,1570722328,78,15.74,-96.47,86.0,5.1
286,salinas,0,RU,1570722330,66,50.59,107.6,20.41,1.9
287,salinas,100,NZ,1570722331,93,-45.41,167.72,42.04,12.04
288,salinas,100,RU,1570722332,78,66.69,34.34,38.98,16.59
289,salinas,100,RU,1570722334,72,66.08,76.63,38.84,23.55
290,salinas,0,IR,1570722335,20,32.86,59.22,68.0,13.87
291,salinas,0,CN,1570722336,32,47.92,123.49,33.82,7.54
292,salinas,51,BJ,1570722337,71,11.13,2.93,84.06,5.36
293,salinas,40,BR,1570722339,61,-9.67,-35.74,82.4,14.99
294,salinas,9,DE,1570722340,84,48.91,12.69,54.0,8.76
295,salinas,69,RU,1570722341,86,71.98,102.47,14.59,11.65
296,salinas,100,PF,1570722343,80,-16.48,-151.75,75.34,17.79
297,salinas,40,SA,1570722344,21,18.39,42.45,73.4,13.87
298,salinas,1,US,1570722345,29,37.61,-122.49,63.0,6.93
299,salinas,35,PE,1570722346,89,-5.56,-80.82,61.03,7.06
300,salinas,1,CA,1570722349,58,49.78,-74.86,53.6,4.7
301,salinas,75,IN,1570722351,88,17.65,83.27,80.6,6.93
302,salinas,91,BR,1570722352,77,-1.2,-46.02,80.73,22.17
303,salinas,90,CA,1570722354,100,70.47,-68.59,33.8,19.46
304,salinas,75,MK,1570722355,60,41.28,20.71,69.8,4.7
305,salinas,99,RU,1570722356,89,70.62,147.9,12.07,3.98
306,salinas,100,NZ,1570722359,96,-45.87,170.5,46.99,1.01
307,salinas,71,SY,1570722360,17,35.3,37.18,76.5,3.64
308,salinas,31,CA,1570722361,77,44.18,-81.63,62.01,10.24
309,salinas,55,PH,1570722362,97,17.39,121.16,64.15,3.16
310,salinas,40,SA,1570722364,23,24.63,46.72,93.2,4.7
311,salinas,100,RU,1570722365,68,56.01,71.51,53.46,3.07
312,salinas,85,ID,1570722366,91,-7.95,110.28,73.33,3.97
313,salinas,75,JP,1570722367,100,35.73,140.83,63.0,14.99
314,salinas,20,MX,1570722369,58,22.89,-109.91,87.01,3.86
315,salinas,16,ID,1570722370,93,-2.54,112.95,75.9,2.04
316,salinas,100,ZA,1570722371,22,-28.55,16.43,76.37,19.13
317,salinas,90,US,1570722373,100,64.86,-147.8,36.0,1.64
318,salinas,54,RU,1570722374,48,55.79,84.89,35.01,4.0
319,salinas,30,RU,1570722375,53,67.47,86.57,27.82,18.38
320,salinas,72,BI,1570722376,71,-3.48,29.48,69.22,2.01
321,salinas,100,MY,1570722377,98,2.02,112.94,72.34,1.2
322,salinas,100,PF,1570722379,76,-16.78,-151.5,75.07,16.62
323,salinas,100,LY,1570722380,18,29.03,21.55,93.25,24.24
324,salinas,100,RU,1570722381,97,61.08,50.08,35.62,5.89
325,salinas,0,TZ,1570722383,43,-4.28,34.41,79.32,12.7
326,salinas,0,PY,1570722384,22,-19.93,-60.77,98.98,9.14
327,salinas,89,ID,1570722385,95,-2.68,111.62,74.26,2.38
328,salinas,6,JP,1570722386,70,37.4,136.9,68.65,9.29
329,salinas,40,IS,1570722388,72,64.25,-15.21,48.2,16.11
330,salinas,90,AU,1570722389,76,-43.03,147.26,48.2,1.12
331,salinas,40,RU,1570722391,85,64.73,177.51,19.4,4.47
332,salinas,40,SD,1570722392,23,14.2,24.66,89.17,15.14
333,salinas,20,PT,1570722393,56,37.73,-25.67,71.6,8.05
334,salinas,96,RU,1570722395,93,71.64,128.87,16.59,3.69
335,salinas,75,US,1570722396,87,43.75,-87.71,60.01,9.17
336,salinas,90,FI,1570722400,96,65.96,29.19,32.0,5.82
337,salinas,40,GF,1570722402,59,4.94,-52.33,89.6,12.75
338,salinas,40,CA,1570722403,79,55.17,-118.79,24.8,6.93
339,salinas,100,CA,1570722405,93,60.75,-137.51,27.07,12.04
